Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI_14,MACD,MACD_Signal,Volatility,Volume_Change,Label_Class,Label_Reg,Ticker
2021-02-01,225.0357840681807,232.15850507669128,222.51793663750792,229.43003845214844,33314200,-1.3983435684071024,-1.4538190336283217,-1.5190271173980583,-1.404016292904816,-1.4459872658784618,-1.4902131716927371,1.4382873410576789,0.6301933001961724,0.32250506298206555,0.5457868047534076,-0.7644557015891607,0,-0.0005840677465380086,MSFT
2021-02-02,231.0097089858927,231.97663204495075,228.51101245118528,229.29603576660156,25916300,-1.3826522626699729,-1.42860933831034,-1.5071210435673321,-1.386549693137634,-1.4282269271949146,-1.4760180833469794,1.4165634499854118,0.7015982753240578,0.40635283490860646,0.5858328266336688,-0.7814115803015906,1,0.014571430567815777,MSFT
2021-02-03,229.35348721136776,234.6380749767332,229.05669496453717,232.63720703125,27158100,-1.3605796599004152,-1.408218665119588,-1.4934252342364303,-1.362185790456977,-1.4067541951480105,-1.4595371817471383,1.6340851016092612,0.792192446076919,0.4925925560720558,0.2681306735856625,-0.0016652425607026674,0,-0.0040741534628631875,MSFT
2021-02-04,232.31169667293688,232.86696415588537,230.11934621370295,231.6894073486328,25296100,-1.353848614483675,-1.3895982300265255,-1.477186727629046,-1.3495513666996666,-1.3911547245192029,-1.445657814164544,1.4714225829890042,0.8397038822673754,0.5716334404574623,0.3234741098650995,-0.33807035635355237,1,0.0007849711772203327,MSFT
2021-02-05,231.89999632428507,232.9052215570717,230.16718686803185,231.87127685546875,18054800,-1.3314701516839766,-1.371841073382401,-1.464140274885651,-1.3404360586142228,-1.3780136730857084,-1.432902279261074,1.4843924024983692,0.8679550709992685,0.6408415352420269,0.3390066297043462,-0.9668229813395128,1,0.0011148390133243694,MSFT
2021-02-08,232.78077013104104,233.2881669112596,230.5405638250113,232.12977600097656,22211900,-1.3253073211256443,-1.3577009395338064,-1.4516722040008267,-1.333375106318948,-1.3667248514433967,-1.4210801142326468,1.503963902827219,0.8818142831046926,0.6991393624000374,0.3081352353175854,0.5249424068825765,1,0.0053614518298568115,MSFT
2021-02-09,231.5553461576899,234.3221002924528,231.08625176555745,233.37432861328125,23565000,-1.3159975910771604,-1.345199895682984,-1.4373325605616334,-1.323929918213153,-1.3549028869780535,-1.4090288532614672,1.6002929185998924,0.8973637916044033,0.7490664887516731,0.2845343163725045,0.03588663856421577,0,-0.003897042189242996,MSFT
2021-02-10,234.55188509696072,235.43264960639695,230.61715697080717,232.46485900878903,22186700,-1.3163910188234802,-1.3343598520968254,-1.4221144428736443,-1.3210953854215388,-1.347119865166699,-1.3991155235981676,1.4096351971704224,0.8853911773318862,0.7864758713643235,0.31662933091416967,-0.3089801894458383,1,0.006877404566133081,MSFT
2021-02-11,234.34124027726764,234.69545677816905,231.8233931931632,234.06361389160156,15751100,-1.310971294731725,-1.3282842117213838,-1.406754462695962,-1.3131193979120726,-1.3374303993310634,-1.388405663646662,1.5459303375683442,0.8853756122816955,0.8164000853026074,0.07152623777240713,-0.9778099815442803,1,0.0020449695112510482,MSFT
2021-02-12,233.52745888007203,234.83904438143503,232.37863648675813,234.54226684570312,16561100,-1.3048740877124865,-1.3140457777564634,-1.389310098835736,-1.3059798892686911,-1.3285082154317962,-1.3781946531978218,1.5865797603420888,0.879820147140409,0.8391644242790537,-0.6265406343906172,0.008469860000735107,0,-0.0052652527538614696,MSFT
2021-02-16,234.5806260608858,235.63372209695896,232.56060701574452,233.30734252929688,26728500,-1.3021859956835589,-1.3096201302620005,-1.3723676805036558,-1.3059214494616385,-1.323773899094528,-1.3703006534735305,1.3026042097752724,0.8471805447017213,0.8504723181642413,-1.376216329407566,1.6330823508518297,1,0.004359507469900199,MSFT
2021-02-17,231.56092598454555,234.429999771811,231.1962886570467,234.3244476318359,21653500,-1.300017109850881,-1.3038805808406235,-1.3569135920620596,-1.302010472799929,-1.3177872517712927,-1.3620510820859957,1.4040232413620408,0.8236668035941188,0.8545452599122632,-1.3767602435094304,-0.6884352462545722,0,-0.001678877742315002,MSFT
2021-02-18,232.02153115942008,234.06538330037233,231.1195427268476,233.93104553222656,16925600,-1.2966701700289796,-1.3024037626684728,-1.3459943548281905,-1.3009007972369053,-1.3137064095549982,-1.3550155037865999,1.3081868837892598,0.7887975956085957,0.8504284538543276,-1.6417241560942741,-0.7706647054237393,0,-0.011567353655899514,MSFT
2021-02-19,233.89265696504796,233.9982091087317,230.46702209962763,231.22508239746097,25262600,-1.3031498327059952,-1.3029337542595067,-1.3369611355628261,-1.3104623429244668,-1.3159893896975967,-1.3515961191578296,0.6876280843156506,0.7146497053901322,0.8314520455767371,-1.4358198828290019,1.2825602260474485,0,-0.026808341560769278,MSFT
2021-02-22,227.81864342177664,228.30801355738436,223.00165002550105,225.0263214111328,36446900,-1.3248723736029975,-1.3107467499155536,-1.3319956527317773,-1.3404347661089107,-1.3307356955887741,-1.355251339868547,-0.38115431031784325,0.5640850814740512,0.7844251107468055,-0.7510147000999421,1.1385974924649926,0,-0.005287535197061162,MSFT
2021-02-23,221.01537906288905,225.33339754887209,219.4800777445188,223.83648681640625,30228700,-1.3464919858598607,-1.320212908300413,-1.3296617660473453,-1.364945962153298,-1.3452728298219336,-1.3598538860717844,-0.5472544097346655,0.4220325624201205,0.7167581434504966,-0.7639212564803627,-0.6328023770896339,1,0.005487087769681379,MSFT
2021-02-24,220.7082886727813,225.68840512166148,219.7391387901833,225.064697265625,26339700,-1.3676296970215196,-1.3296977200205993,-1.3281556511647434,-1.3766110859112286,-1.3546151450190433,-1.3626808707780136,-0.3524494680608158,0.3204511748724767,0.6411391681878562,-0.7620570134512201,-0.5116230306476544,0,-0.023704867307035193,MSFT
2021-02-25,222.69460427185768,225.1030937109058,218.66445668933272,219.7295684814453,39542200,-1.4000481433182714,-1.3442340848483598,-1.330001359383388,-1.4046981335758406,-1.3733430067361634,-1.371047282169795,-1.0384740083995627,0.16437998133264287,0.5476334894491423,-0.47979627477784575,1.3076066492981957,1,0.014804311357685028,MSFT
2021-02-26,222.16688173220012,225.8515878901501,220.25735243847063,222.9825134277344,37819200,-1.4188638818880601,-1.356882317622476,-1.333283294857907,-1.4110391979002357,-1.3819075539444683,-1.3750752231431296,-0.5446941976189807,0.0816999692560471,0.4553413604719549,-0.3130225486149734,-0.2659015874953441,1,0.01962269924922226,MSFT
2021-03-01,226.36008213862527,227.86659759459576,223.72129349094783,227.3580322265625,25324000,-1.413541164991834,-1.3650825746333257,-1.3302682125365102,-1.3986094142878636,-1.379824426618785,-1.3739556702670312,0.014002103667221493,0.07240342929226132,0.37954135324757393,-0.010917253911244143,-1.0942818679266242,0,-0.012956861601800145,MSFT
2021-03-02,227.42520204873816,227.70348251561023,224.00917241783225,224.4121856689453,22812500,-1.4122269874406255,-1.3752357191607003,-1.3331281610244627,-1.4015374333310218,-1.384240277423787,-1.376150055027665,-0.35527466966617294,0.023262383009438965,0.3085075624317612,0.03698231300750553,-0.4264861906209923,0,-0.026980820186091364,MSFT
2021-03-03,222.7713404645017,224.13391321847823,218.0694900570676,218.35736083984375,34029500,-1.4275381712657949,-1.3934609334458845,-1.3393627095791167,-1.4265395549506295,-1.4004326206343463,-1.384727688803502,-0.9831986375969893,-0.09791519026452244,0.22605035412956903,0.23467409779194343,1.2800666974416113,0,-0.003647171387705667,MSFT
2021-03-04,217.5705790891224,223.08804755279928,215.19086040970717,217.56097412109375,44727800,-1.432488533792109,-1.412146124001828,-1.3479554785140193,-1.446239400140986,-1.4153354574311927,-1.3933554773655235,-1.056288381652158,-0.20416286069539613,0.13761222414595015,0.22585546742651325,0.7679351685656447,1,0.021479055098317743,MSFT
2021-03-05,220.23809282439743,223.8364408233417,217.30184319993336,222.2339782714844,41872800,-1.4341972537145051,-1.4224087850301697,-1.353344644211079,-1.4415829736370507,-1.4178201542109794,-1.3960738018447378,-0.4645808072515605,-0.2247069758867897,0.06251645010046586,0.5469033249426517,-0.3244066159246861,0,-0.018177840842068742,MSFT
2021-03-08,222.01328727476053,223.93240636504976,217.94476417404604,218.1942443847656,35267400,-1.4551159062576065,-1.430207080952308,-1.361139932360066,-1.453857549753997,-1.4282459525315154,-1.4029315302440206,-0.856327224980088,-0.2938335809230732,-0.012181084386723745,0.39261233929081635,-0.5956587172596909,1,0.028101528590564265,MSFT
2021-03-09,223.46223842117595,225.86113735770795,222.30116489353895,224.32583618164065,33080500,-1.4553130206990783,-1.4296485258972815,-1.3655878240879966,-1.4386982474519778,-1.4240372873794138,-1.4024603229743782,-0.19276169802504012,-0.26485909801973495,-0.06581074130438518,0.7576782706958477,-0.31914600242662705,0,-0.005817466043071618,MSFT
2021-03-10,227.41561273111648,227.41561273111648,222.65619093371328,223.0208282470703,29746800,-1.4446674824105445,-1.4319814468188796,-1.3714888496853357,-1.433560079822123,-1.4233050906046365,-1.40345483021567,-0.32312788541556386,-0.25833333127359603,-0.1073342069155553,0.7561368854727631,-0.4311092269203361,1,0.02026526877283516,MSFT
