Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI_14,MACD,MACD_Signal,Volatility,Volume_Change,Label_Class,Label_Reg,Ticker
2021-02-01,27.990805846413934,28.193354203681302,27.82720875341441,27.88953018188477,40395800,-0.3526975847572832,-0.3396911799451124,-0.3164968480342483,-0.36116062311750285,-0.34485465397930376,-0.33230917534747856,-0.8362396975771619,-0.16863878803520038,-0.06837492755098361,-0.47169235119987146,-0.8219254658804582,0,-0.022625475084163557,PFE
2021-02-02,27.85837241476353,27.873953517308227,26.697608507202077,27.258516311645508,84062400,-0.39632085849603266,-0.3550191980398438,-0.3246543355671649,-0.39922273840798983,-0.36896506381451954,-0.3465364248104448,-1.640274984110196,-0.28343489142503353,-0.11511632639002574,-0.17580706730120882,2.0795999660281206,0,-0.004287009877958729,PFE
2021-02-03,27.258515562938825,27.492226151107133,27.094915476608776,27.141658782958984,38524200,-0.4192864829196215,-0.36946348970402676,-0.33582482389540785,-0.4302889130128046,-0.39180821317361747,-0.3610535730360329,-1.7549787421739869,-0.3860248632389761,-0.17441858822909112,-0.18025250766278694,-1.2583669969657538,1,0.0014349215736899235,PFE
2021-02-04,27.118283509750903,27.328623891036145,27.032588950139424,27.180604934692383,34284900,-0.44134287972252256,-0.38311249455928836,-0.34489526036183393,-0.4491028620418748,-0.40945941540392183,-0.37363993357450587,-1.6558804052113498,-0.45655417873560794,-0.23692265783367883,-0.16952117442525508,-0.3703823565916768,1,0.000860182457204028,PFE
2021-02-05,27.2039852142334,27.32863405405257,27.094920451183533,27.2039852142334,31749600,-0.463626583430596,-0.3972087209155136,-0.35487058034621527,-0.4605067811928706,-0.42327778407036276,-0.3846984946297393,-1.5935565204540343,-0.5032918422842485,-0.29690722187738194,-0.17655458664355653,-0.2961337620744018,0,-0.0028639692434607334,PFE
2021-02-08,27.2351385648524,27.27408982872946,27.063752409435175,27.126073837280273,31633900,-0.48591028713866885,-0.4206763098664831,-0.36581558770917905,-0.4719039909972183,-0.43666152522786883,-0.3958005321541294,-1.684767287961008,-0.5447227522251158,-0.35374286970349156,-0.6304588527039738,-0.15151445920882742,1,0.004308152054493518,PFE
2021-02-09,27.110499193144385,27.313050568403764,27.07933698590577,27.242937088012695,30170200,-0.48636501229209617,-0.44277228931171825,-0.37952840723461806,-0.4738104211023391,-0.44449525589906547,-0.4042002773265358,-1.3547829957182893,-0.5548606463763676,-0.4013764394445352,-0.5822286101916689,-0.2391983937334962,0,-0.00657719290814453,PFE
2021-02-10,27.26630341028868,27.328627815971988,27.032592832558738,27.06375503540039,29039900,-0.48863886074540064,-0.4554246530286062,-0.3912150821583369,-0.48380826026389195,-0.4556832427518449,-0.41432219544393645,-1.5851507065494974,-0.5808920250075378,-0.4450425636608778,-1.1925004547079352,-0.22108420256612085,0,-0.008923475752899987,PFE
2021-02-11,27.110495218781644,27.11828725534482,26.705395499441615,26.82225227355957,30885200,-0.49909843001889975,-0.4717246697290833,-0.40286422133940675,-0.5022356410189694,-0.4712776397385713,-0.42687949011382925,-1.85747188433182,-0.6276101380475692,-0.4899525961819565,-1.1758448173432294,-0.013305199939849213,1,0.008422704644985258,PFE
2021-02-12,26.830035780657052,27.22734635292471,26.767714360017195,27.048168182373047,25578600,-0.5036464052832171,-0.4851751947519042,-0.4122285755754414,-0.5035175492316796,-0.4780117849685248,-0.43506088219025235,-1.2560497643726867,-0.6260173679925092,-0.525540469785132,-1.033692536055609,-0.4974560392259515,0,-0.0008638300602987327,PFE
