Date,Open,High,Low,Close,Volume
2021-01-04,235.8547915476673,236.3671234281997,229.81267203283582,234.0880889892578,3572000
2021-01-05,233.09876898489222,241.5966050390219,231.94158082121524,239.32638549804688,4207100
2021-01-06,244.06112211258193,254.7408353895926,241.24322949499603,252.24093627929688,6383500
2021-01-07,254.20198726344097,261.37482227678714,253.23913760649322,257.62939453125,4009700
2021-01-08,257.938569484251,258.1859067602413,251.80810954605397,256.2425231933594,2800800
2021-01-11,253.3451558473735,260.5886476847592,251.0484639085503,259.55511474609375,2649700
2021-01-12,262.47901010183654,268.5211295719924,261.48963403193966,266.95758056640625,4814400
2021-01-13,265.0759882909119,268.29139925966575,264.2103214591216,267.6023864746094,2413800
2021-01-14,268.58289814869187,273.31767418570655,268.1324074072504,271.9573059082031,3192200
2021-01-15,266.0565187000432,269.29840212529,262.2492776337724,265.89752197265625,3863700
2021-01-19,269.4220777967928,270.83544490792957,259.5285349765705,259.88189697265625,6727800
2021-01-20,261.31297066520676,262.7528375017311,253.94582454786328,256.5870361328125,4792600
2021-01-21,256.56934498005756,258.59219964626953,254.87329895904523,255.6153106689453,2516000
2021-01-22,253.24793677925726,256.6930007833229,252.1967467814128,255.63299560546875,2568800
2021-01-25,252.22330942434508,252.94766399987435,245.1299991751715,250.02377319335938,4575000
2021-01-26,250.80992359619404,252.4352867238246,247.40901576124662,248.89306640625,3296800
2021-01-27,243.80497108405459,245.0151581127908,239.67089326161823,241.4464111328125,3891800
2021-01-28,242.57709274385243,247.1881877068285,239.67970149616488,242.93927001953125,3778700
2021-01-29,242.27669692684853,245.04159018804643,239.05247079761168,239.538330078125,3412000
2021-02-01,240.85457700358722,244.51163749374766,240.27156189054128,242.68312072753906,2324100
2021-02-02,245.8543324420853,254.62600410137446,245.57165356524578,253.4953155517578,5195500
2021-02-03,253.1772724811423,256.0040070817835,251.91408674503398,254.89097595214844,2712800
2021-02-04,256.17186876662237,261.32179481869684,255.74785045146308,259.48443603515625,2994700
2021-02-05,260.58863781176797,262.5673361300305,258.106422774316,259.26361083984375,2938100
2021-02-08,260.5885047911531,265.7914543180491,260.1468293593037,265.13775634765625,2826200
2021-02-09,264.65198264038,267.1695385498148,262.9736210200019,265.4116516113281,2071700
2021-02-10,265.0053301455763,269.5810823762332,263.0177901694845,268.78607177734375,3213700
2021-02-11,268.52108411691916,269.430934695444,264.27216737123416,267.0547180175781,2159900
2021-02-12,266.76326930524465,270.92387363173304,266.5689309272065,270.58819580078125,1977300
2021-02-16,273.8388602179254,276.4182574723506,273.14984738988016,275.5702209472656,2792200
2021-02-17,273.86534235911324,278.2379411176142,272.7434961590971,276.25921630859375,2333100
2021-02-18,273.14990738176044,277.81400146314996,271.7011982181973,273.7505798339844,2093300
2021-02-19,274.04206504078934,279.8280048828771,274.04206504078934,278.8033142089844,2749500
2021-02-22,276.48887596843974,283.16700768505234,275.7910210975423,279.9074401855469,3162300
2021-02-23,280.8880435422913,282.6724033838652,274.35122264784655,281.97454833984375,2942500
2021-02-24,282.82257024943794,292.36275258434426,282.76072919455635,292.0712585449219,3934400
2021-02-25,294.4474677792655,296.63818863969055,288.2286942308988,289.5272216796875,4244000
2021-02-26,287.7692715780003,290.33982645529255,281.8243360635596,282.2130126953125,3732200
2021-03-01,288.2167854257851,293.57319110812864,286.7180559764809,292.5799560546875,2957800
2021-03-02,292.6509137291477,298.14033757903616,292.2163801236683,293.4845275878906,2850300
2021-03-03,295.91441308489107,301.6078155877826,295.53308656523893,296.57952880859375,3606300
2021-03-04,295.42669073888123,301.30631843198245,287.25907672205244,292.02130126953125,3647600
2021-03-05,297.5993654931295,297.5993654931295,280.6433530883748,290.3185729980469,3740200
2021-03-08,293.8570110018128,299.3819159024709,291.8528138261865,296.3667297363281,2998000
2021-03-09,291.4271556259998,298.31777313192225,288.7223620029522,293.1741943359375,3324800
2021-03-10,294.4866041626318,303.6474515731658,294.0077133290565,303.3104553222656,3153100
2021-03-11,300.3308335300291,305.9532759919261,298.37981630694674,303.3815002441406,2756600
2021-03-12,306.1483471034663,310.38735040647236,304.7471818296282,309.33203125,2436700
2021-03-15,309.89073562584997,312.533471976223,303.2927851521858,306.8843994140625,2276200
2021-03-16,306.2015716636698,307.6382174373144,299.5238102265817,303.0356140136719,2332600
2021-03-17,305.61626944137043,307.7535114441261,301.8738834847147,305.908935546875,2710900
2021-03-18,311.05252776748836,316.4621423587802,307.7180714823049,308.61376953125,3713000
2021-03-19,307.21251795787055,307.9396905508815,302.0778172040583,305.2437744140625,3513000
2021-03-22,302.459198017657,304.0732188926055,297.9718854788107,300.92498779296875,2094500
2021-03-23,299.4084890992542,303.19523193073877,293.8303776660058,294.2205810546875,2457500
2021-03-24,295.6839200802192,298.8055207888923,291.2675410052444,291.4537658691406,3332200
2021-03-25,290.3008609020402,293.8836253339173,285.4854293484126,293.138671875,2804700
2021-03-26,296.65052647015847,297.48414044578146,286.16829486797894,290.33636474609375,3082600
2021-03-29,284.0931557798829,290.6645036325466,281.7608118665406,288.8642578125,4533200
2021-03-30,292.12773148833935,297.75017381626617,291.63111385495745,294.4334716796875,2717300
2021-03-31,292.85492020227946,295.0010119518692,288.60703986577846,289.990478515625,2624500
2021-04-01,287.596098900715,292.3494745159952,287.47195800815086,290.55810546875,2659000
2021-04-05,295.1783903911056,295.1783903911056,286.48752790750706,286.9220886230469,3235000
2021-04-06,287.7645342160619,291.35617546163394,287.33000059157786,290.0436706542969,1801700
2021-04-07,290.61123536960315,291.94146679107473,286.75355883461015,289.59136962890625,2157300
2021-04-08,287.58725662756507,293.9723530760475,286.4166461397375,293.6619873046875,2402800
2021-04-09,296.1982855691089,296.99641924923264,291.5779546205345,293.36932373046875,2347100
2021-04-12,295.01876092914745,296.6239048118771,292.5977297991973,294.2826843261719,2318800
2021-04-13,292.21646486054107,292.695328826965,287.48969266704006,290.59356689453125,3575900
2021-04-14,291.3649875560763,305.4831877892393,289.2366228695298,297.3953857421875,9876800
2021-04-15,300.54366916882975,302.71639171669295,296.67714211459446,300.2332763671875,4354800
2021-04-16,301.7763496861909,304.8358661415202,300.295346590321,303.5677185058594,4231900
2021-04-19,301.5191258998434,305.44773625085594,298.50394005357055,304.2593994140625,3228200
2021-04-20,301.49255536186587,301.93596588967614,292.07452008135647,294.31817626953125,3662300
2021-04-21,292.65095606486256,297.5018684494527,290.48711046705,297.3244934082031,2733300
2021-04-22,296.7480294440196,298.832064141813,292.9081065416572,293.40472412109375,2165200
2021-04-23,293.7595521996262,302.11342065621704,293.28953799865235,300.94281005859375,2163800
2021-04-26,303.2394906349581,306.75129324121343,302.30833966917623,304.6406555175781,2171500
2021-04-27,305.0665204485291,308.2147251684004,304.76500446083855,307.39886474609375,2088600
2021-04-28,308.6137358650946,310.49379222466644,306.91990435452107,308.7112731933594,2140900
2021-04-29,310.8751212953335,313.78389337883067,308.1526011259649,313.021240234375,2584400
2021-04-30,311.3805837687963,312.8881902873679,307.90426062029326,309.0127868652344,2101100
2021-05-03,310.68885712006585,313.98783222946446,309.7311023751049,310.52923583984375,1871700
2021-05-04,309.41183898251734,311.9658877720224,303.7982740059572,310.2454528808594,2831400
