Date,Open,High,Low,Close,Volume
2021-01-04,135.69825670933022,135.81907630009582,133.01432357242885,135.05963134765625,11765900
2021-01-05,134.84389891750675,137.01002656911174,133.8255641136895,136.64756774902344,9602300
2021-01-06,135.69824187553053,138.27860567517013,135.24947780102292,137.93341064453125,8230100
2021-01-07,137.2171527367058,138.96904363327252,136.6562073796503,138.3994598388672,7747200
2021-01-08,138.5203119174168,139.02949261147933,137.97663013926592,138.1147003173828,8228900
2021-01-11,138.5634418278076,139.21933103152605,137.01867579425857,137.53646850585938,7066200
2021-01-12,137.34659056476184,137.78672945982763,135.77593574460346,136.46633911132812,6903200
2021-01-13,136.55263346438485,136.75113315949278,135.27539577514486,136.25921630859375,6643100
2021-01-14,138.4685157050869,139.7630172788366,137.74359798419133,138.64111328125,10030800
2021-01-15,138.33908081054688,139.29701257106967,137.31210738090013,138.33908081054688,7630800
2021-01-19,139.80616932025364,140.70368461317346,139.02947364692594,140.47930908203125,9057600
2021-01-20,140.8417788200323,141.65300197210635,139.63358253078493,140.13412475585938,6839900
2021-01-21,139.219284565818,140.22035540813658,138.13189521451636,139.57310485839844,6818000
2021-01-22,140.11687110076406,142.53327702100327,139.6939957850075,141.1438446044922,8137000
2021-01-25,142.40379371797846,143.3358364007517,141.23875024077478,143.24090576171875,9924400
2021-01-26,146.4512955672727,149.86014754700065,146.18376731214497,147.1244354248047,14205700
2021-01-27,145.9507434413202,147.5041480722668,144.509533168494,144.88063049316406,14207300
2021-01-28,145.15674286766674,147.45232832910213,144.81154778898616,145.9852294921875,8944400
2021-01-29,141.75653898335776,143.2581654582856,138.55481265974083,140.78135681152344,22505900
2021-02-01,142.66267874900052,142.66267874900052,140.32395365022776,140.41888427734375,9971400
2021-02-02,140.99708583065012,141.23872501988455,139.09847338902512,139.1588897705078,11443300
2021-02-03,138.89138025414442,139.39192240428167,137.70907312179003,138.51165771484375,8601900
2021-02-04,138.9431554315645,139.88382332346123,137.87302949384593,139.7975311279297,7758100
