Date,Open,High,Low,Close,Volume
2021-01-04,110.90946084299868,111.22261749866333,108.54339128315176,109.49156188964844,16819900
2021-01-05,109.50907627770478,110.65682778188479,108.44018109392785,110.08733367919922,13731200
2021-01-06,113.79341981203267,116.32547171717007,112.04112770206311,115.25657653808594,24909100
2021-01-07,118.8838046379264,121.07416137937578,118.20917101827456,119.04150390625,21940400
2021-01-08,119.12913330303363,119.46207183310611,117.50826383374968,119.17294311523438,12035100
2021-01-11,117.91130607540558,121.08293890678272,117.49951786737961,120.95152282714844,15937900
2021-01-12,122.1693547384883,124.11439283303311,121.6349070932507,122.85274505615234,18033500
2021-01-13,121.42463950859653,123.35215118634441,120.99533805002184,122.96665954589844,14816800
2021-01-14,123.08931077567864,125.06938875508189,122.65999597696297,123.6850814819336,18565600
2021-01-15,120.40831365067771,124.10563779874346,120.04033523290698,121.46845245361328,27881000
2021-01-19,122.53731218337751,123.27326880456874,120.74998705064512,120.9427261352539,19843800
2021-01-20,120.75001235920253,121.05665433119808,118.66478812656624,119.12914276123047,16028800
2021-01-21,118.88382395240029,119.29561215620411,117.6835125411178,118.13034057617188,13411700
2021-01-22,116.25540517567849,117.75360206918477,115.82609033584154,117.21915435791016,12933200
2021-01-25,115.77350804444507,116.67593405104029,113.95112943212206,115.7559814453125,14212800
2021-01-26,116.3079297779126,116.67590806447036,115.0725655073347,115.28284454345703,11307800
2021-01-27,113.53934392868003,113.76714961614327,111.57678589919365,112.02362060546875,17603900
2021-01-28,113.81093822166869,115.79978601346961,113.01365847710417,113.99493408203125,13761800
2021-01-29,114.94117520869825,115.40552981970428,112.3127468284175,112.73329162597656,14808100
2021-02-01,113.37286794539983,113.95989535998334,112.56681820940614,113.56562042236328,11080700
2021-02-02,115.5982525128951,117.74479912982802,114.96742879468731,117.06140899658203,12253600
2021-02-03,117.09649687651188,118.94515898771883,116.97383740145513,118.4019546508789,10600800
2021-02-04,118.69104868774834,121.48594594673737,118.69104868774834,121.12672424316406,12419500
2021-02-05,122.1255316644647,122.21315128290946,120.36448963228989,120.89016723632812,10051300
2021-02-08,121.08294212880118,122.92284750591448,121.06541552809058,122.78266143798828,10136400
2021-02-09,122.1605932539962,122.64247450353824,121.38082663887515,122.29202270507812,8614800
2021-02-10,122.65999931386801,123.4222393172772,121.81889629340903,122.36211395263672,10323200
2021-02-11,122.36210377958211,123.1418703184933,121.10045603822516,122.0204086303711,9201000
2021-02-12,121.82766120854305,124.07058467792957,121.78385139397815,123.75517272949219,8324600
2021-02-16,125.77030547715242,127.32108202407461,124.76273320487519,126.73405456542969,12130600
2021-02-17,126.12073903058612,127.37363004379299,125.39353898509397,127.12831115722656,10810100
2021-02-18,126.16459118203582,127.73288125956037,125.63890003789156,127.55765533447266,10587800
2021-02-19,127.79417407734334,130.40507556617715,127.79417407734334,129.6866455078125,11969800
2021-02-22,128.67910010326634,131.5879008727894,128.60900706882103,130.90451049804688,11488400
2021-02-23,132.74439477801974,133.44531171271984,131.06220215606666,131.95587158203125,16234400
2021-02-24,131.51778933940724,134.7157050439979,131.51778933940724,134.2776336669922,15061400
2021-02-25,135.16255262531052,135.71451349490434,131.938340190342,132.45526123046875,18127700
2021-02-26,131.68424051140448,132.18363486076979,128.36365244329977,128.94190979003906,19829200
2021-03-01,131.0008505138157,132.63047634948825,130.08965468694737,131.85946655273438,14845500
2021-03-02,131.49152745983244,132.98096770952708,131.28124835195757,131.43019104003906,14221700
2021-03-03,132.49905115781846,135.78458614346377,132.1398428264004,133.97097778320312,14324100
2021-03-04,133.7081436244167,135.25892001214697,130.21232929109308,131.91204833984375,20093900
2021-03-05,134.24262280058974,134.47918513849436,129.64287234968145,132.21873474121094,18465100
2021-03-08,133.5854728725339,136.20514424721716,132.07850642294116,133.97097778320312,17133300
2021-03-09,132.73562105622415,135.14501351764076,131.2637077150378,133.02474975585938,16238800
2021-03-10,133.0948202378219,136.81842613851634,132.74435519054944,135.91600036621094,14342200
2021-03-11,135.02233352162128,136.80965850229222,134.3652265867037,135.20632934570312,11771500
2021-03-12,137.43179030723266,138.10642415459185,135.86350023331994,136.80972290039062,12849500
2021-03-15,136.98492653158675,137.48432095536938,134.89094585988298,136.1262969970703,12101100
2021-03-16,135.00483800155266,135.45167937622847,133.34017206414595,134.49667358398438,12805600
2021-03-17,136.1000324251549,137.4492999534158,134.0936711026135,135.88099670410156,13952400
2021-03-18,138.08013543200065,141.6635569191888,137.65082057008323,138.12393188476562,21898500
2021-03-19,136.24895797706222,136.6257063217128,132.4640281450565,135.92478942871094,54418800
2021-03-22,133.87461357314143,134.8996989764171,131.95585883026234,132.27127075195312,19944800
2021-03-23,131.71051245310423,133.2788017508661,130.5102014257299,130.94827270507812,17076300
2021-03-24,131.42139545287665,134.20752261941732,131.29873601854234,131.964599609375,13079800
2021-03-25,131.4214269403093,134.02357226323772,130.8344128375747,133.6555938720703,15608300
2021-03-26,135.18884970788005,136.1964086771735,133.65559966050688,135.88099670410156,16754400
2021-03-29,133.27878679966614,134.6893766956826,132.3325513381576,133.76942443847656,17570300
2021-03-30,135.32902912716807,136.56438037284929,134.82086467503248,135.34654235839844,13184300
2021-03-31,134.29516622938934,135.35530489112983,133.27883738107047,133.37521362304688,16736700
2021-04-01,133.08606086016482,134.7419699049528,132.77941895935263,134.67189025878906,16561500
2021-04-05,136.07314201200174,136.5490530374265,134.48680778755406,135.38572692871094,13508000
2021-04-06,134.65427043739672,135.9674166606182,133.8346651571286,134.43394470214844,13071600
2021-04-07,134.9274802024861,136.80464624670302,134.5308831369443,136.54025268554688,16903500
2021-04-08,135.72066283268921,137.0514255297119,134.2312586019326,136.7077178955078,12335500
2021-04-09,137.31579756300678,138.39979632414276,136.5755063821146,137.73001098632812,12122400
2021-04-12,137.11310071150297,138.58487487548112,137.10429252403523,137.43917846679688,12273400
2021-04-13,136.38162040243435,136.7782040081043,134.33699127014054,135.79995727539062,16113600
2021-04-14,133.49100534344683,135.57088156677864,133.01509405424946,133.26187133789062,19939600
2021-04-15,133.29706730322334,134.13430239180315,131.59615911414338,134.1078643798828,17694100
2021-04-16,135.6060648784992,136.17009816314817,134.56613397302098,135.10372924804688,13773400
2021-04-19,135.20947545911773,135.61488066855568,134.15191477693273,134.53086853027344,11900200
